;Names;FA;FA StdDev;MD;MD StdDev;RD;RD StdDev;AD;AD StdDev;Time
54;Subject_033_S_6352;0.6811562750533996;0.23397234185363663;0.0009563141880902538;0.0004140656849990166;0.00053153037083751;0.00047650814236928753;0.0018058818225957414;0.0004162151442668037;20.99
55;Subject_036_S_6099;0.6511753072624432;0.21529864160044293;0.0010044495364131157;0.0003820334216381111;0.0005832733892754277;0.0004534506834610715;0.0018468018306884914;0.0003343174242834472;12.05
56;Subject_168_S_6281;0.6288038763846537;0.19759901283782624;0.0009642083524922463;0.00031591251285478035;0.0005794695545282113;0.0003890373591363536;0.001733685948420316;0.00021849435136111155;11.78
57;Subject_168_S_6426;0.676284850896061;0.18574906591623228;0.0009148560085216162;0.00025794881787599916;0.0004979154208677545;0.0003250447836946189;0.0017487371838293395;0.00021309902693111306;11.59
58;Subject_011_S_7112;0.6271793751478026;0.19412759919899045;0.0008885854147172978;0.0002713934319140025;0.0005288293819371301;0.0003342294755011119;0.001608097480277633;0.00023310565253829033;9.68
59;Subject_068_S_0127;0.5992870808856117;0.1909302376745461;0.0011218620189682449;0.00036321590917208805;0.0007044747436938626;0.0004177795019879078;0.001956636569517009;0.0003204334978750445;10.13
60;Subject_033_S_10736;0.679880086572153;0.1936049259750155;0.0008085672908732257;0.00032912742821958807;0.000441438295937803;0.00037556525574549034;0.0015428252807440713;0.00033451435384295375;16.44
61;Subject_033_S_10092;0.6622094620866446;0.1935459820929518;0.0008713174986414456;0.0003305376883566906;0.0004951736975995767;0.00037852499643109094;0.0016236051007251836;0.0003105638041186525;9.91
62;Subject_033_S_10118;0.6620288364981763;0.250793180264529;0.0008998557913621506;0.0004347036940819692;0.0005281896071810358;0.0004781165111773301;0.0016431881597243798;0.0004421646697304936;7.86
63;Subject_011_S_4278;0.5937444745779232;0.21924788866394024;0.0010249172097510865;0.0003544966805453384;0.0006491308128507106;0.00043739686087933266;0.0017764900035518384;0.0002851088880143847;10.57
64;Subject_002_S_4225;0.6248634058742565;0.17929276849301068;0.0010098499830974471;0.0003473280273413554;0.0006121670928003328;0.0003987438432917267;0.0018052157636916759;0.00029019632767997804;17.22
65;Subject_033_S_6705;0.6759396271540444;0.21811176194884643;0.0009986365501198345;0.0003934544591349737;0.0005673362686855394;0.0004420914745924109;0.0018612371129884246;0.0003436480937038613;10.31
66;Subject_012_S_6073;0.6558691294717135;0.19306195801837198;0.0010168398505422777;0.00041996897124856655;0.0005966930762762786;0.0004759224031583752;0.0018571333990742762;0.00034094441750930467;17.48
67;Subject_137_S_6906;0.6891789577135187;0.1889420127717096;0.0008042744406736739;0.00032602229436486883;0.000431296329886225;0.00038251803292902695;0.0015502306622485712;0.0003194223870917449;9.69
68;Subject_168_S_6059;0.6814143425727021;0.17871135875172411;0.0008893632152162547;0.00027934590918690894;0.00048547988408528456;0.0003348181201063118;0.0016971298774781948;0.00021911980065564756;10.6
69;Subject_033_S_6976;0.690830813660972;0.23348114376485518;0.0008231390745031007;0.00040466991086310155;0.00046483101633784966;0.0004593163778359027;0.0015397551908336027;0.0003489540044530372;11.68
70;Subject_041_S_6136;0.7115388941147376;0.19449492990739659;0.0008664636158201052;0.0003247920943142874;0.000439526437142719;0.0003971950265468196;0.0017203379731748779;0.00032538983135666795;12.13
71;Subject_033_S_10693;0.626868562668082;0.2111650101981786;0.000882631954572329;0.0003826859311430534;0.0005461828836312707;0.0004363134634574854;0.0015555300964544454;0.00031936062024108693;12.35
72;Subject_011_S_6303;0.6237054508820736;0.2095231969965467;0.0010313090137221217;0.0003729524040211003;0.000627481927284262;0.0004494921010110844;0.0018389631865978412;0.00028184305586063826;17.88
73;Subject_012_S_6503;0.6716683280067054;0.19071543502808685;0.0009235762187909224;0.00032666834337136174;0.0005171758919324115;0.00038983662171562957;0.001736376872507944;0.0002534294916286939;19.29
74;Subject_016_S_6708;0.6120847762968924;0.21025794648582705;0.000922800640188504;0.0004022999771282327;0.0005757659919341636;0.0004443959607741767;0.001616869936697185;0.00039337945050557714;11.29
75;Subject_003_S_6257;0.6795175259079492;0.18731266808243185;0.0008876358493385306;0.0003192945652318991;0.0004873459418054439;0.00037744677399910665;0.0016882156644047039;0.0002680057792639098;17.28
76;Subject_168_S_6065;0.6401872775241851;0.1684307590923923;0.0009028686522929268;0.0002887323662668559;0.0005292490829455212;0.0003424474875063496;0.001650107790987738;0.00022446116366728493;9.19
77;Subject_041_S_4037;0.621052390545947;0.18559989576185534;0.0009387494081508111;0.0003388988320368244;0.0005715242506158745;0.00038942877807309807;0.0016731997232206843;0.00030650404999436995;16.76
78;Subject_016_S_6943;0.6936594748988275;0.16434905798494787;0.0009154146368609269;0.0003232234349779683;0.0004901971986193024;0.00037519725333243225;0.001765849513344176;0.00026218161373009236;16.4
79;Subject_137_S_6880;0.649846091609479;0.18752526641896994;0.0008965820428138188;0.00035402801264603227;0.0005268929127621351;0.0004066534570645595;0.0016359603029171864;0.0002872840855156219;9.42
80;Subject_003_S_5154;0.6571122746660918;0.19817336875874586;0.0009363925442525076;0.0002979205487066027;0.0005329726468692059;0.00036787446552168427;0.0017432323390191111;0.00023956254061274163;10.13
81;Subject_033_S_10276;0.7007114055557889;0.23295532979615372;0.0008197030878287019;0.0003658772333325573;0.00044505091944896467;0.00043409915375461935;0.001569007424588176;0.0002771291535333585;8.85
82;Subject_032_S_6728;0.704697326556486;0.1924036682673461;0.0008901112029615404;0.0003255563545229039;0.0004603733732132093;0.0003849839490718677;0.0017495868624582028;0.0003180657916438905;6.54
83;Subject_137_S_6693;0.7139131531857129;0.19770876998374928;0.000862870678756467;0.00034309538600231883;0.0004514145037957843;0.00039302728495086434;0.0016857830286778322;0.0002926956266319089;12.25
84;Subject_032_S_6717;0.6532725727677516;0.20981342099404934;0.0009820899552049505;0.00036591215220536846;0.0005707635391448128;0.00044920199887158715;0.0018047427873252265;0.00026127759682065705;21.47
85;Subject_032_S_6855;0.6617030750884001;0.20375238789682376;0.0009438696059094064;0.0003263372931464231;0.000535442732113843;0.0003821228071864693;0.0017607233535005327;0.0002995090107440772;19.94
86;Subject_011_S_4827;0.6454530913890606;0.20824190980562257;0.0011008238480269795;0.0003966615458981583;0.000650080460971773;0.000464252975010042;0.002002310622137392;0.00030426066312265904;18.7
